month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
2,2004,100390.2188,405.2970276,411.5733032,280.1875,280.1328125,278.21875,388.4453125,83.34375,85.9420929,64.3359375,65.1920929,64.21495056,35.02807617,47.80102539,43.83911133,305.1329956,-0.018721104,9.118360519,7.801251888,-0.23593998,-0.472278595,25.81,26.86,28.59,26.46,0.11054563,0.13145595,0.194981375,1.8,-0.219,1.08,-0.14,1.06,0.48
3,2004,100087.8594,420.4525146,419.7666931,304.4520874,308.0397949,306.0113831,422.7067261,117.0035858,85.75994873,66.17492676,68.39718628,66.34927368,70.66699219,52.64176941,66.82623291,302.3088989,-0.006197691,10.07388878,6.161821842,0.37665844,0.885731697,25.94,27.1,28.43,27.16,0.107237495,-0.297832005,0.26909405,-0.3,5.007,0.26,-1.12,0.3,0.61
4,2004,100140.2891,423.921875,425.8261108,317.796875,320.7578125,319.15625,440.0488281,124.1035156,78.484375,68.26757813,69.6875,69.90625,89.47583008,67.04199219,82.15527344,303.1603088,0.062893569,8.92270565,10.38930321,2.1201334,0.899122238,25.32,27.84,28.75,27.37,0.00931678,0.194716545,0.849596025,-2.1,0.078,0.35,1.28,0.51,0.57
5,2004,100165.8047,421.2635803,426.5123901,316.359375,317.5078125,317.1796875,440.8203125,156.203125,108.7844238,67.6640625,69.01098633,68.90625,71.31689453,81.3515625,74.86254883,300.2601318,0.048278987,8.86345005,8.054203033,1.376770973,1.18274498,23.05,28.06,29.16,26.72,-0.150646952,0.16783624,0.26915838,1.5,1.529,-0.03,2.3,-1.76,0.88
6,2004,99926.25781,417.3445129,420.039917,312.5390625,311.921875,312.5078125,437.375,162.71875,195.8984375,67.7265625,67.796875,67.453125,51.04418945,50.73266602,69.91992188,299.375061,0.003938377,8.861847878,7.518896103,0.439743996,2.646975517,21.6,27.76,29.17,26.27,-0.318863825,0.09590625,-0.209767918,-2.2,0.547,1.37,2.52,-0.37,0.04
7,2004,100144.8984,416.4066162,413.4883423,314.9296875,312.5859375,315.2109375,437.0246582,150.8059082,184.328125,66.8371582,67.6796875,66.90625,66.54345703,57.43359375,71.12036133,299.5211182,0.024213374,9.6388731,5.426291466,0.767307281,0.999426842,20.71,27.69,29.39,25.41,-0.29745664,0.035516466,-0.10853424,-1.2,-1.063,-0.33,0.99,0.09,0.44
8,2004,99940.76563,412.1468506,416.5671997,315.71875,314.9453125,313.9375,436.6171875,172.46875,158.8312988,66.4921875,66.80786133,66.890625,57.94018555,55.62182617,48.62402344,298.9122925,0.055693507,5.489206314,6.828342438,1.65588665,0.345426559,19.62,27.54,29.31,25.05,0.009213331,0.063416823,0.34136795,-1.2,-0.766,-0.31,-0.65,1.55,0.85
9,2004,100223.6094,411.9813843,407.9088135,300.3207703,301.0412903,302.2783203,425.217804,158.9128571,139.9816895,68.5579071,68.0019989,67.9702301,49.31764221,47.44398499,38.0589447,298.5872498,-0.021932185,13.37041759,12.32350445,-0.630462646,-0.247722626,20.07,27.47,29.6,25.17,0.212409075,0.14381382,0.419737063,-0.6,0.674,0.42,-3.08,-0.08,0.75
10,2004,100343.4219,412.5567627,414.5820618,279.328125,281.671875,280.7890625,396.859375,96.3125,102.3951874,65.5625,63.21549988,64.19921875,23.97167969,34.40014648,29.33178711,300.2399902,-0.100551367,7.266058922,10.65635967,-1.792789459,-1.096879959,20.92,27.38,29.55,25.32,0.174546939,0.096399723,-0.040787254,-0.5,-2.109,0.57,-0.89,-1.39,-0.11
11,2004,100503.1875,393.0568237,409.548645,254.328125,256.0078125,253.4375,362.5644531,76.92382813,74.859375,62.38476563,59.25,61.015625,8.1796875,19.15527344,9.782226563,300.3534546,-0.168765068,5.928099632,11.58971977,-2.721222878,-2.332753181,21.96,27.31,29.57,25.46,0.1666163,0.0699475,0.2406825,-1.4,4.444,0.67,-0.15,0.31,-0.63
