month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
9,2002,100209.0625,415.3618164,414.0525513,303.0500183,301.0741272,303.6069031,425.2223816,161.3700409,178.1016846,66.59503174,67.95245361,66.23948669,31.647995,29.87234497,41.89883423,299.0081482,-0.002470672,13.38938808,7.158996105,0.076321602,0.202983856,19.89,27.83,29.44,25.54,0.46141475,-0.011898413,0.433880825,-1.1,-2.719,0.9,-0.99,0.77,0.43
10,2002,100473.3672,409.0704956,416.1171875,281.4375,279.8515625,279.5,396.859375,100.1953125,124.1931152,64.34375,64.68530273,65.16888428,43.67626953,22.10839844,32.66088867,299.6367798,-0.081617057,12.32804585,13.72668457,-1.697756767,-2.349466324,21.16,28.05,29.56,25.85,0.29684665,-0.285767093,0.07303465,-1.2,-0.016,-2.42,1.94,-0.65,0.42
11,2002,100494.9063,420.8063354,398.8501587,255.859375,257.921875,256.484375,362.5637207,73.1574707,69.1887207,59.3996582,59.5637207,61.015625,14.09277344,3.252197266,10.63598633,302.8965454,-0.094437718,5.545826435,9.787400246,-1.801882744,-2.551327705,22.25,28.27,29.83,26.37,0.229894969,-0.050563746,-0.42900292,-1,-1.922,-1.71,2.21,1.54,1.51
12,2002,100659.375,403.2837524,385.7567139,240.1015625,242.5703125,241.5703125,343.5,86.640625,71.0390625,58.1484375,58.890625,58.98095703,-14.35742188,-15.54370117,1.313964844,301.0505981,-0.145677686,7.760261536,8.677226067,-2.603281021,-3.174812317,23.44,28.09,29.49,26.48,0.32057765,0.5788153,-0.370258443,-2.4,-5.861,0.67,-99.9,1.59,2.1
1,2003,100553.1875,383.3113403,391.2143555,251.5546875,251.984375,249.96875,354.4453125,78.2265625,76.15014648,61.5859375,60.83764648,60.328125,16.61279297,3.370605469,-4.527099609,301.2001343,-0.088827014,6.943411827,7.270058632,-1.533078194,-1.78425312,24.38,27.76,29.25,26.38,0.201526196,0.365254875,-0.1790862,-0.6,-2.517,0.3,1.85,1.29,2.09
2,2003,100463.75,408.9760437,389.0942993,278.1796875,278.625,278.6875,388.4453125,92.64453125,89.53909302,63.66796875,65.03909302,65.21484375,34.04443359,25.64648438,30.7355957,303.6387634,-0.014001966,9.597396851,9.935082436,0.007553101,-0.317697525,25.81,27.49,29.03,26.7,0.337869068,0.388374475,0.45186809,-2,-0.073,0.65,1.17,0.73,1.75
3,2003,100263.0703,422.2081299,418.8757935,303.819519,305.9996948,305.6421509,422.7084045,120.4154358,102.2625427,66.01100159,66.44065857,69.40325928,58.59204102,61.57684326,50.29226685,301.9714355,0.026398122,6.283679485,13.60416222,1.034618378,0.904094696,25.97,27.81,29.03,27.28,0.40215074,0.0685813,0.54336864,-1.6,-0.57,-1,0.64,-0.07,1.51
4,2003,100185.2031,413.7604065,428.5880127,316.9765625,318.9765625,317.953125,440.046875,140.171875,103.0336914,67.6640625,70.68212891,69.7578125,68.2487793,70.609375,86.80859375,299.4798584,0.024751842,13.06264019,11.08379459,0.899939537,1.450104713,24.44,27.81,28.96,27.15,0.469112575,0.37310865,0.565202662,-0.7,-2.628,1.5,0.49,0.14,1.18
5,2003,100112.7656,415.6843262,426.2940369,317.5078125,317.9375,319.375,440.8125,119.2734375,116.9541016,68.40625,68.61816406,69.13574219,75.84667969,85.82617188,89.61669922,300.5264893,0.023057401,7.074454308,7.48167181,0.697711945,2.027381897,22.49,27.37,28.92,26.14,0.37513786,0.166836453,0.47542908,-1,-0.762,-0.43,-0.45,-2.2,0.89
6,2003,100049.9531,420.9364014,428.4611206,313.7734375,312.3359375,314.796875,437.359375,151.84375,181.03125,67.34375,67.53125,68.4453125,58.93261719,49.80249023,89.77587891,300.3917236,0.028107464,7.878573418,8.500048637,0.831997871,1.831025124,21.58,27.48,29.09,25.83,0.658673775,-0.158981468,0.033770175,-1.9,-2.216,0.35,0.27,-0.6,0.68
