year,month,X478002,X478201,X459201,X459203,X459204,X48012,X48032,X48053,X48092,X48172,X48062,X48182,X48121,X9042,X9052,X9062,X9102,X9160,X48160,X48201,X48131,X48100,X48150,X48193,X48241
1975,3,2.161290323,0.841935484,0.406451613,2.058064516,1.729032258,1.322580645,2.970967742,0.680645161,0.632258065,0.35483871,1.25483871,0.925806452,0.683870968,0.193548387,3.609677419,0.677419355,1.025806452,0.474193548,1.664516129,2.24516129,4.893548387,0.593548387,2.6,0.841935484,0.835483871
1975,4,2.2,0.966666667,0.783333333,1.173333333,1.533333333,0.486666667,0.693333333,1.053333333,0,1.123333333,2.63,0.906666667,3.633333333,2.78,1.48,1.793333333,5.15,2.5,1.606666667,1.723333333,2.01,1.053333333,2.313333333,0.963333333,1.616666667
1975,5,8.977419355,9.787096774,3.75483871,8.093548387,12.66451613,11.65483871,5.925806452,13.22903226,5.448387097,3.477419355,7.312903226,9.483870968,8.861290323,2.496774194,6.216129032,2.551612903,6.483870968,4.212903226,7.390322581,5.603225806,5.880645161,11.82258065,7.880645161,9.780645161,6.980645161
1975,6,4.266666667,3.836666667,2.723333333,1.453333333,2.356666667,3.403333333,10.42666667,3.276666667,1.806666667,1.48,2.963333333,2.143333333,2.566666667,1.363333333,0.166666667,1.383333333,1.38,1.323333333,4.22,4.67,6.693333333,5.356666667,3.14,3.826666667,2.75
1975,7,9.038709677,2.812903226,4.348387097,2.212903226,1.451612903,2.85483871,9.2,4.490322581,2.893548387,1.587096774,5.109677419,2.106451613,3.332258065,4.34516129,2.564516129,4.916129032,3.05483871,3.132258065,6.64516129,4.809677419,5.493548387,2.464516129,3.006451613,2.8,3.451612903
1975,8,4.506451613,2.712903226,5.880645161,4.258064516,3.216129032,2.935483871,8.287096774,4.393548387,2.690322581,2.8,5.219354839,2.709677419,4.264516129,6.7,6.387096774,4.35483871,13.46129032,7.958064516,4.496774194,4.580645161,6.370967742,2.906451613,4.387096774,2.706451613,2.767741935
1975,9,6.473333333,5.2,10.17666667,4.94,2.64,5.356666667,9.1,4.936666667,4.16,4.54,9.716666667,2.906666667,6.536666667,7.14,7.136666667,7,19.85,8.356666667,6.273333333,5.826666667,7.856666667,6.946666667,5.97,5.183333333,4.63
1975,10,11.89354839,5.619354839,2.958064516,5.538709677,7.696774194,5.961290323,5.235483871,9.564516129,5.087096774,3.329032258,14.49032258,6.096774194,4.883870968,5.235483871,5.419354839,2.577419355,12.69354839,3.535483871,9.35483871,5.690322581,8.693548387,5.338709677,5.561290323,5.606451613,5.170967742
1975,11,1.533333333,1.44,6.736666667,2.183333333,2.27,1.783333333,1.043333333,3.566666667,0,0.886666667,4.566666667,2.023333333,3.916666667,2.03,2.656666667,5.13,0.746666667,1.503333333,1.926666667,1.353333333,0.486666667,1.463333333,3.063333333,1.443333333,1.686666667
1975,12,0.229032258,0.212903226,0.196774194,0.229032258,0.609677419,0.151612903,0,0.593548387,0,0.129032258,1.303225806,0.406451613,0.567741935,0.258064516,0.05483871,1.787096774,0,0,0.374193548,0.2,0.183870968,0.190322581,0.683870968,0.209677419,0.235483871
1976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,2,1.231034483,0.562068966,1.462068966,1.334482759,0.75862069,0.3,2.175862069,1.075862069,0.762068966,0.965517241,0.993103448,0.624137931,1.993103448,3.5,2.248275862,1.548275862,0.517241379,2.789655172,1.272413793,1.524137931,2.44137931,0.724137931,1.427586207,0.55862069,1.182758621
1976,3,1.493548387,1.290322581,1.551612903,1.216129032,2.258064516,1.964516129,3.806451613,1.377419355,1.235483871,0.738709677,2.225806452,1.380645161,0.796774194,1.919354839,1.112903226,3.358064516,3.225806452,1.919354839,1.767741935,1.138709677,0.103225806,1.387096774,0.864516129,1.290322581,1.648387097
1976,4,2.223333333,1.756666667,3.08,1.91,3.273333333,2.666666667,4.35,3.043333333,4.903333333,1.54,4.52,2.296666667,1.383333333,2.55,1.7,3.716666667,1.393333333,2.786666667,3.42,1.38,1.3,1.673333333,0,1.756666667,3.436666667
1976,5,7.887096774,9.038709677,4.838709677,5.658064516,7.690322581,7.761290323,9.416129032,9.638709677,4.64516129,5.04516129,9.258064516,6.335483871,7.470967742,4.790322581,4.003225806,3.664516129,5.290322581,4.541935484,7.816129032,7.522580645,12.11935484,12.72903226,8.741935484,9.025806452,6.883870968
1976,6,1.863333333,1.656666667,2.606666667,0.59,0.646666667,0.223333333,4.396666667,1.276666667,1.206666667,1.563333333,1.066666667,0.65,1.783333333,4.363333333,0.056666667,0.733333333,2.85,2.77,1.806666667,2.223333333,3.093333333,2.853333333,2.07,1.65,1.413333333
1976,7,4.906451613,3.732258065,4.387096774,3.309677419,6.358064516,2.235483871,11.48387097,3.867741935,3.958064516,4.706451613,5.358064516,3.635483871,5.029032258,3.587096774,2.616129032,3.974193548,4.225806452,4.270967742,5.332258065,7.464516129,13.62258065,4.993548387,6.383870968,3.725806452,4.364516129
1976,8,6.470967742,5.712903226,8.683870968,5.303225806,6.977419355,5.022580645,14.56451613,5.819354839,7.367741935,6.24516129,9.45483871,4.680645161,5.151612903,5.470967742,5.712903226,3.980645161,4.770967742,7.303225806,8.719354839,9.235483871,15.98387097,7.7,10.26774194,5.7,7.583870968
1976,9,6.446666667,4.533333333,10.22333333,5.746666667,5.11,1.106666667,9.8,3.9,6.876666667,5.606666667,6.6,3.126666667,11.81333333,17.91,8.193333333,7.593333333,8.433333333,13.26333333,7.49,7.486666667,9.733333333,7.07,6.896666667,4.506666667,7.29
1976,10,8.829032258,8.725806452,7.512903226,10.97741935,13.56451613,3.767741935,6.748387097,13.70645161,8.864516129,4.322580645,15.33548387,9.296774194,10.82903226,14.59354839,12.7,5.406451613,10.28387097,11.47096774,14.96451613,6.761290323,6.674193548,11.60967742,14.39677419,8.709677419,10.55806452
